"Accession","class"
"GCA_028017835.1","Lepidosauria"
"GCA_028018385.1","Mammalia"
"GCA_028018845.1","Aves"
"GCA_028020825.1","Aves"
"GCA_028021215.1","Mammalia"
"GCA_028022725.1","Actinopteri"
"GCA_028022735.1","Aves"
"GCA_028023285.1","Mammalia"
"GCA_028031935.1","Actinopteri"
"GCA_028372415.1","Mammalia"
"GCA_028389875.1","Aves"
"GCA_028390025.1","Amphibia"
"GCA_028451465.1","Mammalia"
"GCA_028500815.1","Aves"
"GCA_028533065.1","Mammalia"
"GCA_028533085.1","Mammalia"
"GCA_028533165.1","Mammalia"
"GCA_028533205.1","Mammalia"
"GCA_028533215.1","Mammalia"
"GCA_028533245.1","Mammalia"
"GCA_028533255.1","Mammalia"
"GCA_028533295.1","Mammalia"
"GCA_028533335.1","Mammalia"
"GCA_028533385.1","Mammalia"
"GCA_028533395.1","Mammalia"
"GCA_028533765.1","Mammalia"
"GCA_028533875.1","Mammalia"
"GCA_028533885.1","Mammalia"
"GCA_028534055.1","Mammalia"
"GCA_028534125.1","Mammalia"
"GCA_028534135.1","Mammalia"
"GCA_028534165.1","Mammalia"
"GCA_028551375.1","Mammalia"
"GCA_028551405.1","Mammalia"
"GCA_028551445.1","Mammalia"
"GCA_028551515.1","Mammalia"
"GCA_028564815.1","Mammalia"
"GCA_028564925.1","Amphibia"
"GCA_028571685.1","Mammalia"
"GCA_028583105.1","Mammalia"
"GCA_028583405.1","Actinopteri"
"GCA_028583425.1","Lepidosauria"
"GCA_028583565.1","Mammalia"
"GCA_028626985.1","Mammalia"
"GCA_028627135.1","Mammalia"
"GCA_028627145.1","Mammalia"
"GCA_028627215.1","Mammalia"
"GCA_028627265.1","Mammalia"
"GCA_028640845.1","Lepidosauria"
"GCA_028641065.1","Chondrichthyes"
"GCA_028641955.1","Actinopteri"
"GCA_028644305.1","Mammalia"
"GCA_028645565.1","Mammalia"
"GCA_028646355.1","Mammalia"
"GCA_028646385.1","Mammalia"
"GCA_028646425.1","Mammalia"
"GCA_028646465.1","Mammalia"
"GCA_028646485.1","Mammalia"
"GCA_028646515.1","Mammalia"
"GCA_028646535.1","Mammalia"
"GCA_028646575.1","Mammalia"
"GCA_028646595.1","Mammalia"
"GCA_028658305.1","Mammalia"
"GCA_028658325.1","Mammalia"
"GCA_028769735.1","Aves"
"GCA_028858705.1","Aves"
"GCA_028858725.1","Aves"
"GCA_028858755.1","Aves"
"GCA_028858775.1","Mammalia"
"GCA_028878055.1","Mammalia"
"GCA_028885625.1","Mammalia"
"GCA_028885655.1","Mammalia"
"GCA_028975605.1","Mammalia"
"GCA_029042245.1","Aves"
"GCA_029206835.1","Amphibia"
"GCA_029220125.1","Actinopteri"
"GCA_029224185.1","Actinopteri"
"GCA_029281585.1","Mammalia"
"GCA_029289425.1","Mammalia"
"GCA_029407905.2","Mammalia"
"GCA_029410595.1","Mammalia"
"GCA_029448725.1","Actinopteri"
"GCA_029465975.1","Actinopteri"
"GCA_029490765.1","Actinopteri"
"GCA_029499605.1","Amphibia"
"GCA_029574335.1","Amphibia"
"GCA_029582105.1","Aves"
"GCA_029620275.1","Actinopteri"
"GCA_029633865.1","Actinopteri"
"GCA_029633875.1","Actinopteri"
"GCA_029692045.1","Actinopteri"
"GCA_029692085.1","Actinopteri"
"GCA_029718625.1","Actinopteri"
"GCA_029721435.1","Actinopteri"
"GCA_029721515.1","Actinopteri"
"GCA_029783895.1","Actinopteri"
"GCA_029853015.1","Actinopteri"
"GCA_029890205.1","Mammalia"
"GCA_029931775.1","Lepidosauria"
"GCA_029931835.1","Actinopteri"
"GCA_029959045.1","Actinopteri"
"GCA_030012505.1","Lepidosauria"
"GCA_030014155.1","Actinopteri"
"GCA_030014295.1","Mammalia"
"GCA_030014385.1","Actinopteri"
"GCA_030015415.1","Mammalia"
"GCA_030020295.1","Lepidosauria"
"GCA_030020395.1","Mammalia"
"GCA_030028045.1","Mammalia"
"GCA_030035585.1","Mammalia"
"GCA_030035675.1","Lepidosauria"
"GCA_030035685.1","Chondrichthyes"
"GCA_900094665.2","Mammalia"
"GCA_900095145.2","Mammalia"
"GCA_900246225.5","Actinopteri"
"GCA_900324465.3","Actinopteri"
"GCA_900324485.3","Actinopteri"
"GCA_900496995.4","Aves"
"GCA_900634415.1","Actinopteri"
"GCA_900634625.2","Actinopteri"
"GCA_900634775.2","Actinopteri"
"GCA_900634795.4","Actinopteri"
"GCA_900700375.2","Actinopteri"
"GCA_900700415.2","Actinopteri"
"GCA_900747795.4","Cladistia"
"GCA_900880675.2","Actinopteri"
"GCA_900963305.2","Actinopteri"
"GCA_900964775.1","Actinopteri"
"GCA_901000725.3","Actinopteri"
"GCA_901001135.2","Amphibia"
"GCA_901001165.2","Actinopteri"
"GCA_901699155.2","Aves"
"GCA_901709675.2","Actinopteri"
"GCA_901765095.2","Amphibia"
"GCA_901933205.1","Aves"
"GCA_902148845.1","Actinopteri"
"GCA_902148855.1","Actinopteri"
"GCA_902150065.1","Actinopteri"
"GCA_902167405.1","Actinopteri"
"GCA_902362185.1","Actinopteri"
"GCA_902459505.2","Amphibia"
"GCA_902500255.1","Actinopteri"
"GCA_902635505.1","Mammalia"
"GCA_902655055.2","Mammalia"
"GCA_902685375.1","Actinopteri"
"GCA_902686445.2","Mammalia"
"GCA_902686455.2","Mammalia"
"GCA_902713425.2","Actinopteri"
"GCA_902713615.2","Chondrichthyes"
"GCA_902810595.1","Actinopteri"
"GCA_902827115.2","Actinopteri"
"GCA_903797595.2","Aves"
"GCA_903798145.1","Actinopteri"
"GCA_903798195.1","Actinopteri"
"GCA_903992535.2","Mammalia"
"GCA_903992545.1","Mammalia"
"GCA_903995425.1","Mammalia"
"GCA_903995435.1","Mammalia"
